FIRING_HEADER_ROW,Time Cue Number,Ignition Event Time,Number Of Devices,Duration,Coordinates,Chain Identifier,Lockout Identifier,Device Delay,Prefire Delay,Effect Name,Caliber,Category,Angles,Position Name,Animation Description,Module Description,Module Address,Slat Address,Pin Address,Firing Notes,Product ID,Manufacturer Product ID,Animation ID,Location Primary,Location Secondary,Price Per Device,Mortar Caliber,Track Identifier
,,10.171,,,,,,,,Varg Flame,,,,,,,1,1,14,,,,,,,,,
,,10.171,,,,,,,,Varg Flame,,,,,,,1,1,15,,,,,,,,,
,,21.549,,,,,,,,Varg Flame,,,,,,,2,0,12,,,,,,,,,
,,21.549,,,,,,,,Varg Flame,,,,,,,2,0,13,,,,,,,,,
,,36.124,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,2,2,2,,,,,,,,,
,,36.68,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,1,1,2,,,,,,,,,
,,37.235,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,1,3,7,,,,,,,,,
,,37.791,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,2,0,6,,,,,,,,,
,,38.346,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,0,0,7,,,,,,,,,
,,38.902,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,1,0,10,,,,,,,,,
,,39.457,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,0,1,0,,,,,,,,,
,,40.013,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,1,2,10,,,,,,,,,
,,40.568,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,2,1,6,,,,,,,,,
,,41.124,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,3,0,7,,,,,,,,,
,,57.887,,,,,,,,33 Shot Coconut Shell Cake,,,,,,,0,1,4,,,,,,,,,
,,64.904,,,,,,,,33 Shot Coconut Shell Cake,,,,,,,2,2,7,,,,,,,,,
,,106.647,,,,,,,,White Willow Comet,,,,,,,0,4,8,,,,,,,,,
,,106.685,,,,,,,,White Willow Comet,,,,,,,0,4,9,,,,,,,,,
,,106.724,,,,,,,,White Willow Comet,,,,,,,0,4,10,,,,,,,,,
,,106.762,,,,,,,,White Willow Comet,,,,,,,0,4,11,,,,,,,,,
,,106.801,,,,,,,,White Willow Comet,,,,,,,0,4,12,,,,,,,,,
,,106.839,,,,,,,,White Willow Comet,,,,,,,0,4,13,,,,,,,,,
,,106.878,,,,,,,,White Willow Comet,,,,,,,0,4,14,,,,,,,,,
,,106.916,,,,,,,,White Willow Comet,,,,,,,2,3,1,,,,,,,,,
,,106.955,,,,,,,,White Willow Comet,,,,,,,2,3,2,,,,,,,,,
,,106.993,,,,,,,,White Willow Comet,,,,,,,2,3,3,,,,,,,,,
,,107.032,,,,,,,,White Willow Comet,,,,,,,2,3,4,,,,,,,,,
,,107.07,,,,,,,,White Willow Comet,,,,,,,2,3,5,,,,,,,,,
,,107.109,,,,,,,,White Willow Comet,,,,,,,2,3,6,,,,,,,,,
,,107.147,,,,,,,,White Willow Comet,,,,,,,2,3,7,,,,,,,,,
,,110.932,,,,,,,,30 Shot Red Green Blue Yellow Pink Mine To Red Green Blue Yellow Pink Chrysanthemum Fan Cake,,,,,,,1,2,0,,,,,,,,,
,,142.272,,,,,,,,Description Here,,,,,,,0,0,11,,,,,,,,,
,,165.624,,,,,,,,Description Here,,,,,,,0,0,5,,,,,,,,,
,,170.629,,,,,,,,Description Here,,,,,,,3,0,5,,,,,,,,,
,,196.785,,,,,,,,Description Here,,,,,,,1,3,9,,,,,,,,,
,,197.374,,,,,,,,Description Here,,,,,,,3,0,4,,,,,,,,,
,,199.559,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
,,216.046,,,,,,,,,,,,,,,1,2,11,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,1,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,2,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,3,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,4,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,5,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,6,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,7,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,8,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,9,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,10,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,11,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,12,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,13,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,14,,,,,,,,,
,,254.71,,,,,,,,,,,,,,,1,1,5,,,,,,,,,
,,299.263,,,,,,,,,,,,,,,3,0,2,,,,,,,,,
,,333.586,,,,,,,,,,,,,,,1,3,5,,,,,,,,,
,,359.365,,,,,,,,,,,,,,,0,0,6,,,,,,,,,
,,359.754,,,,,,,,,,,,,,,0,1,3,,,,,,,,,
,,360.143,,,,,,,,,,,,,,,1,0,8,,,,,,,,,
,,360.532,,,,,,,,,,,,,,,1,1,7,,,,,,,,,
,,360.921,,,,,,,,,,,,,,,1,2,6,,,,,,,,,
,,361.309,,,,,,,,,,,,,,,1,3,6,,,,,,,,,
,,361.698,,,,,,,,,,,,,,,2,0,11,,,,,,,,,
,,362.087,,,,,,,,,,,,,,,2,1,4,,,,,,,,,
,,362.476,,,,,,,,,,,,,,,2,2,9,,,,,,,,,
,,362.865,,,,,,,,,,,,,,,3,0,6,,,,,,,,,
,,386.079,,,,,,,,,,,,,,,0,0,3,,,,,,,,,
,,386.079,,,,,,,,,,,,,,,3,0,9,,,,,,,,,
,,413.303,,,,,,,,,,,,,,,1,2,7,,,,,,,,,
,,450.133,,,,,,,,,,,,,,,0,1,8,,,,,,,,,
,,496.015,,,,,,,,,,,,,,,3,0,8,,,,,,,,,
,,519.917,,,,,,,,,,,,,,,1,3,3,,,,,,,,,
,,550.412,,,,,,,,,,,,,,,1,1,4,,,,,,,,,
,,589.128,,,,,,,,,,,,,,,0,0,9,,,,,,,,,
,,589.128,,,,,,,,,,,,,,,3,0,3,,,,,,,,,
,,633.216,,,,,,,,,,,,,,,3,0,11,,,,,,,,,
,,644.553,,,,,,,,,,,,,,,0,0,12,,,,,,,,,
,,670.29,,,,,,,,,,,,,,,2,0,8,,,,,,,,,
,,707.715,,,,,,,,,,,,,,,0,2,8,,,,,,,,,
,,708.944,,,,,,,,,,,,,,,0,2,9,,,,,,,,,
,,710.172,,,,,,,,,,,,,,,0,2,10,,,,,,,,,
,,711.401,,,,,,,,,,,,,,,0,2,11,,,,,,,,,
,,712.63,,,,,,,,,,,,,,,0,2,12,,,,,,,,,
,,713.858,,,,,,,,,,,,,,,0,2,13,,,,,,,,,
,,715.087,,,,,,,,,,,,,,,0,2,14,,,,,,,,,
,,716.316,,,,,,,,,,,,,,,1,4,15,,,,,,,,,
,,717.544,,,,,,,,,,,,,,,1,5,0,,,,,,,,,
,,718.773,,,,,,,,,,,,,,,1,5,1,,,,,,,,,
,,720.002,,,,,,,,,,,,,,,1,5,2,,,,,,,,,
,,721.23,,,,,,,,,,,,,,,1,5,3,,,,,,,,,
,,722.459,,,,,,,,,,,,,,,1,5,6,,,,,,,,,
,,723.688,,,,,,,,,,,,,,,1,5,7,,,,,,,,,
,,724.916,,,,,,,,,,,,,,,3,1,15,,,,,,,,,
,,726.145,,,,,,,,,,,,,,,3,2,0,,,,,,,,,
,,727.374,,,,,,,,,,,,,,,3,2,1,,,,,,,,,
,,728.602,,,,,,,,,,,,,,,3,2,2,,,,,,,,,
,,729.831,,,,,,,,,,,,,,,3,2,3,,,,,,,,,
,,731.06,,,,,,,,,,,,,,,3,2,4,,,,,,,,,
,,732.288,,,,,,,,,,,,,,,3,2,5,,,,,,,,,
,,734.746,,,,,,,,,,,,,,,0,4,2,,,,,,,,,
,,735.974,,,,,,,,,,,,,,,0,4,3,,,,,,,,,
,,737.203,,,,,,,,,,,,,,,0,4,4,,,,,,,,,
,,738.432,,,,,,,,,,,,,,,0,4,5,,,,,,,,,
,,739.66,,,,,,,,,,,,,,,0,4,6,,,,,,,,,
,,740.889,,,,,,,,,,,,,,,0,4,7,,,,,,,,,
,,742.118,,,,,,,,,,,,,,,2,3,8,,,,,,,,,
,,743.346,,,,,,,,,,,,,,,2,3,9,,,,,,,,,
,,744.575,,,,,,,,,,,,,,,2,3,10,,,,,,,,,
,,745.804,,,,,,,,,,,,,,,2,3,11,,,,,,,,,
,,747.032,,,,,,,,,,,,,,,2,3,12,,,,,,,,,
,,748.261,,,,,,,,,,,,,,,2,3,13,,,,,,,,,
,,749.49,,,,,,,,,,,,,,,2,3,14,,,,,,,,,
